Date,uktgos
31/12/2023,"£137,437,000,000.00"
30/09/2023,"£141,856,000,000.00"
30/06/2023,"£147,206,000,000.00"
31/03/2023,"£155,481,000,000.00"
31/12/2022,"£149,821,000,000.00"
30/09/2022,"£136,697,000,000.00"
30/06/2022,"£138,982,000,000.00"
31/03/2022,"£131,654,000,000.00"
31/12/2021,"£128,561,000,000.00"
30/09/2021,"£127,307,000,000.00"
30/06/2021,"£128,755,000,000.00"
31/03/2021,"£119,432,000,000.00"
31/12/2020,"£117,701,000,000.00"
30/09/2020,"£125,752,000,000.00"
30/06/2020,"£114,979,000,000.00"
31/03/2020,"£120,048,000,000.00"
31/12/2019,"£126,048,000,000.00"
30/09/2019,"£123,897,000,000.00"
30/06/2019,"£118,222,000,000.00"
31/03/2019,"£116,841,000,000.00"
31/12/2018,"£117,068,000,000.00"
30/09/2018,"£117,373,000,000.00"
30/06/2018,"£117,866,000,000.00"
31/03/2018,"£116,294,000,000.00"
31/12/2017,"£120,982,000,000.00"
30/09/2017,"£115,087,000,000.00"
30/06/2017,"£114,906,000,000.00"
31/03/2017,"£116,013,000,000.00"
31/12/2016,"£114,442,000,000.00"
30/09/2016,"£110,581,000,000.00"
30/06/2016,"£106,884,000,000.00"
31/03/2016,"£107,576,000,000.00"
31/12/2015,"£107,022,000,000.00"
30/09/2015,"£103,666,000,000.00"
30/06/2015,"£106,723,000,000.00"
31/03/2015,"£108,434,000,000.00"
31/12/2014,"£110,354,000,000.00"
30/09/2014,"£111,837,000,000.00"
30/06/2014,"£103,562,000,000.00"
31/03/2014,"£99,599,000,000.00"
31/12/2013,"£99,598,000,000.00"
30/09/2013,"£99,458,000,000.00"
30/06/2013,"£96,934,000,000.00"
31/03/2013,"£100,598,000,000.00"
31/12/2012,"£97,963,000,000.00"
30/09/2012,"£97,997,000,000.00"
30/06/2012,"£93,047,000,000.00"
31/03/2012,"£93,525,000,000.00"
31/12/2011,"£95,242,000,000.00"
30/09/2011,"£91,697,000,000.00"
30/06/2011,"£90,036,000,000.00"
31/03/2011,"£89,725,000,000.00"
31/12/2010,"£91,349,000,000.00"
30/09/2010,"£89,906,000,000.00"
30/06/2010,"£85,587,000,000.00"
31/03/2010,"£86,339,000,000.00"
31/12/2009,"£81,752,000,000.00"
30/09/2009,"£86,592,000,000.00"
30/06/2009,"£84,361,000,000.00"
31/03/2009,"£87,312,000,000.00"
31/12/2008,"£87,849,000,000.00"
30/09/2008,"£90,562,000,000.00"
30/06/2008,"£88,044,000,000.00"
31/03/2008,"£84,444,000,000.00"
31/12/2007,"£85,273,000,000.00"
30/09/2007,"£82,916,000,000.00"
30/06/2007,"£84,816,000,000.00"
31/03/2007,"£76,546,000,000.00"
31/12/2006,"£78,088,000,000.00"
30/09/2006,"£82,464,000,000.00"
30/06/2006,"£83,061,000,000.00"
31/03/2006,"£76,994,000,000.00"
31/12/2005,"£80,882,000,000.00"
30/09/2005,"£77,197,000,000.00"
30/06/2005,"£78,522,000,000.00"
31/03/2005,"£72,815,000,000.00"
31/12/2004,"£73,903,000,000.00"
30/09/2004,"£71,027,000,000.00"
30/06/2004,"£72,877,000,000.00"
31/03/2004,"£66,979,000,000.00"
31/12/2003,"£69,359,000,000.00"
30/09/2003,"£71,053,000,000.00"
30/06/2003,"£70,165,000,000.00"
31/03/2003,"£67,056,000,000.00"
31/12/2002,"£67,098,000,000.00"
30/09/2002,"£64,424,000,000.00"
30/06/2002,"£62,528,000,000.00"
31/03/2002,"£60,607,000,000.00"
31/12/2001,"£59,133,000,000.00"
30/09/2001,"£59,923,000,000.00"
30/06/2001,"£59,348,000,000.00"
31/03/2001,"£56,648,000,000.00"
31/12/2000,"£56,322,000,000.00"
30/09/2000,"£57,913,000,000.00"
30/06/2000,"£58,908,000,000.00"
31/03/2000,"£60,846,000,000.00"
31/12/1999,"£59,378,000,000.00"
30/09/1999,"£55,875,000,000.00"
30/06/1999,"£56,450,000,000.00"
31/03/1999,"£57,923,000,000.00"
31/12/1998,"£60,932,000,000.00"
30/09/1998,"£59,470,000,000.00"
30/06/1998,"£60,293,000,000.00"
31/03/1998,"£61,300,000,000.00"
31/12/1997,"£57,389,000,000.00"
30/09/1997,"£61,750,000,000.00"
30/06/1997,"£56,868,000,000.00"
31/03/1997,"£58,540,000,000.00"
31/12/1996,"£60,251,000,000.00"
30/09/1996,"£58,849,000,000.00"
30/06/1996,"£57,114,000,000.00"
31/03/1996,"£54,595,000,000.00"
31/12/1995,"£53,374,000,000.00"
30/09/1995,"£52,286,000,000.00"
30/06/1995,"£49,847,000,000.00"
31/03/1995,"£50,799,000,000.00"
31/12/1994,"£51,164,000,000.00"
30/09/1994,"£49,092,000,000.00"
30/06/1994,"£49,607,000,000.00"
31/03/1994,"£49,534,000,000.00"
31/12/1993,"£46,796,000,000.00"
30/09/1993,"£45,845,000,000.00"
30/06/1993,"£44,418,000,000.00"
31/03/1993,"£45,548,000,000.00"
31/12/1992,"£41,932,000,000.00"
30/09/1992,"£40,289,000,000.00"
30/06/1992,"£41,056,000,000.00"
31/03/1992,"£40,279,000,000.00"
31/12/1991,"£40,341,000,000.00"
30/09/1991,"£40,057,000,000.00"
30/06/1991,"£41,312,000,000.00"
31/03/1991,"£41,614,000,000.00"
31/12/1990,"£42,207,000,000.00"
30/09/1990,"£42,072,000,000.00"
30/06/1990,"£41,606,000,000.00"
31/03/1990,"£40,800,000,000.00"
31/12/1989,"£40,680,000,000.00"
30/09/1989,"£39,834,000,000.00"
30/06/1989,"£38,243,000,000.00"
31/03/1989,"£38,606,000,000.00"
31/12/1988,"£37,040,000,000.00"
30/09/1988,"£35,863,000,000.00"
30/06/1988,"£34,292,000,000.00"
31/03/1988,"£33,697,000,000.00"
31/12/1987,"£32,677,000,000.00"
30/09/1987,"£32,609,000,000.00"
30/06/1987,"£29,936,000,000.00"
31/03/1987,"£27,991,000,000.00"
31/12/1986,"£27,509,000,000.00"
30/09/1986,"£25,297,000,000.00"
30/06/1986,"£24,729,000,000.00"
31/03/1986,"£25,399,000,000.00"
31/12/1985,"£25,785,000,000.00"
30/09/1985,"£25,043,000,000.00"
30/06/1985,"£25,638,000,000.00"
31/03/1985,"£22,241,000,000.00"
31/12/1984,"£22,765,000,000.00"
30/09/1984,"£20,871,000,000.00"
30/06/1984,"£21,011,000,000.00"
31/03/1984,"£20,091,000,000.00"
31/12/1983,"£20,754,000,000.00"
30/09/1983,"£19,902,000,000.00"
30/06/1983,"£18,587,000,000.00"
31/03/1983,"£18,610,000,000.00"
31/12/1982,"£17,632,000,000.00"
30/09/1982,"£16,844,000,000.00"
30/06/1982,"£16,436,000,000.00"
31/03/1982,"£14,539,000,000.00"
31/12/1981,"£15,235,000,000.00"
30/09/1981,"£14,561,000,000.00"
30/06/1981,"£13,239,000,000.00"
31/03/1981,"£12,537,000,000.00"
31/12/1980,"£12,891,000,000.00"
30/09/1980,"£11,886,000,000.00"
30/06/1980,"£12,391,000,000.00"
31/03/1980,"£12,467,000,000.00"
31/12/1979,"£12,092,000,000.00"
30/09/1979,"£11,435,000,000.00"
30/06/1979,"£11,219,000,000.00"
31/03/1979,"£10,109,000,000.00"
31/12/1978,"£9,903,000,000.00"
30/09/1978,"£9,737,000,000.00"
30/06/1978,"£9,234,000,000.00"
31/03/1978,"£9,233,000,000.00"
31/12/1977,"£8,600,000,000.00"
30/09/1977,"£8,119,000,000.00"
30/06/1977,"£7,734,000,000.00"
31/03/1977,"£7,199,000,000.00"
31/12/1976,"£6,497,000,000.00"
30/09/1976,"£5,440,000,000.00"
30/06/1976,"£5,072,000,000.00"
31/03/1976,"£5,071,000,000.00"
31/12/1975,"£4,955,000,000.00"
30/09/1975,"£4,257,000,000.00"
30/06/1975,"£4,286,000,000.00"
31/03/1975,"£4,199,000,000.00"
31/12/1974,"£4,226,000,000.00"
30/09/1974,"£4,318,000,000.00"
30/06/1974,"£4,283,000,000.00"
31/03/1974,"£3,797,000,000.00"
31/12/1973,"£4,489,000,000.00"
30/09/1973,"£4,297,000,000.00"
30/06/1973,"£4,424,000,000.00"
31/03/1973,"£4,698,000,000.00"
31/12/1972,"£4,166,000,000.00"
30/09/1972,"£3,867,000,000.00"
30/06/1972,"£3,770,000,000.00"
31/03/1972,"£3,571,000,000.00"
31/12/1971,"£3,570,000,000.00"
30/09/1971,"£3,426,000,000.00"
30/06/1971,"£3,223,000,000.00"
31/03/1971,"£3,158,000,000.00"
31/12/1970,"£3,163,000,000.00"
30/09/1970,"£2,901,000,000.00"
30/06/1970,"£2,826,000,000.00"
31/03/1970,"£2,658,000,000.00"
31/12/1969,"£2,644,000,000.00"
30/09/1969,"£2,547,000,000.00"
30/06/1969,"£2,451,000,000.00"
31/03/1969,"£2,481,000,000.00"
31/12/1968,"£2,376,000,000.00"
30/09/1968,"£2,401,000,000.00"
30/06/1968,"£2,233,000,000.00"
31/03/1968,"£2,101,000,000.00"
31/12/1967,"£2,009,000,000.00"
30/09/1967,"£1,931,000,000.00"
30/06/1967,"£2,085,000,000.00"
31/03/1967,"£1,973,000,000.00"
31/12/1966,"£1,915,000,000.00"
30/09/1966,"£1,984,000,000.00"
30/06/1966,"£1,865,000,000.00"
31/03/1966,"£1,862,000,000.00"
31/12/1965,"£1,893,000,000.00"
30/09/1965,"£1,903,000,000.00"
30/06/1965,"£1,877,000,000.00"
31/03/1965,"£1,891,000,000.00"
31/12/1964,"£1,810,000,000.00"
30/09/1964,"£1,843,000,000.00"
30/06/1964,"£1,824,000,000.00"
31/03/1964,"£1,708,000,000.00"
31/12/1963,"£1,773,000,000.00"
30/09/1963,"£1,674,000,000.00"
30/06/1963,"£1,687,000,000.00"
31/03/1963,"£1,433,000,000.00"
31/12/1962,"£1,653,000,000.00"
30/09/1962,"£1,635,000,000.00"
30/06/1962,"£1,582,000,000.00"
31/03/1962,"£1,583,000,000.00"
31/12/1961,"£1,457,000,000.00"
30/09/1961,"£1,695,000,000.00"
30/06/1961,"£1,477,000,000.00"
31/03/1961,"£1,589,000,000.00"
31/12/1960,"£1,556,000,000.00"
30/09/1960,"£1,519,000,000.00"
30/06/1960,"£1,496,000,000.00"
31/03/1960,"£1,540,000,000.00"
